harness,dataset,index,params,k,recall_at_k,mean_latency_us,p95_latency_us,build_seconds,index_bytes,base_bytes,queries,runs,timestamp
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=100,ef=16",10,0.326700,64.289,88.959,268.160,80566706,3840000000,1000,3,2026-09-05T02:44:25.597489+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=100,ef=32",10,0.433800,101.686,135.083,268.160,80566706,3840000000,1000,3,2026-09-05T02:44:26.092139+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=100,ef=64",10,0.548100,173.744,216.542,268.160,80566706,3840000000,1000,3,2026-09-05T02:44:26.906966+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=100,ef=128",10,0.655400,310.673,359.375,268.160,80566706,3840000000,1000,3,2026-09-05T02:44:28.240974+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=100,ef=256",10,0.746000,587.213,667.833,268.160,80566706,3840000000,1000,3,2026-09-05T02:44:30.662832+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=100,ef=512",10,0.820900,1137.098,1279.333,268.160,80566706,3840000000,1000,3,2026-09-05T02:44:35.427255+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=200,ef=16",10,0.343300,65.389,88.709,515.544,80566706,3840000000,1000,3,2026-09-05T02:53:13.030383+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=200,ef=32",10,0.461300,103.894,139.875,515.544,80566706,3840000000,1000,3,2026-09-05T02:53:13.470263+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=200,ef=64",10,0.582700,182.099,226.625,515.544,80566706,3840000000,1000,3,2026-09-05T02:53:14.223613+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=200,ef=128",10,0.694800,328.296,386.083,515.544,80566706,3840000000,1000,3,2026-09-05T02:53:15.549415+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=200,ef=256",10,0.789700,607.658,688.000,515.544,80566706,3840000000,1000,3,2026-09-05T02:53:18.016317+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=200,ef=512",10,0.860300,1190.748,1333.042,515.544,80566706,3840000000,1000,3,2026-09-05T02:53:22.807628+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=400,ef=16",10,0.364900,69.712,97.459,974.789,80566706,3840000000,1000,3,2026-09-05T03:09:40.512068+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=400,ef=32",10,0.483100,113.031,151.000,974.789,80566706,3840000000,1000,3,2026-09-05T03:09:41.053288+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=400,ef=64",10,0.608600,191.210,240.167,974.789,80566706,3840000000,1000,3,2026-09-05T03:09:41.887651+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=400,ef=128",10,0.724900,375.688,465.584,974.789,80566706,3840000000,1000,3,2026-09-05T03:09:43.408167+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=400,ef=256",10,0.816300,639.356,746.583,974.789,80566706,3840000000,1000,3,2026-09-05T03:09:46.085352+00:00
faiss,GIST1M,IndexHNSWFlat,"M=8,efC=400,ef=512",10,0.880100,1239.147,1401.708,974.789,80566706,3840000000,1000,3,2026-09-05T03:09:51.183466+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=100,ef=16",10,0.466200,91.576,128.625,356.369,144258362,3840000000,1000,3,2026-09-05T03:15:48.638432+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=100,ef=32",10,0.590100,154.221,207.583,356.369,144258362,3840000000,1000,3,2026-09-05T03:15:49.268510+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=100,ef=64",10,0.714800,269.127,346.292,356.369,144258362,3840000000,1000,3,2026-09-05T03:15:50.352250+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=100,ef=128",10,0.812300,499.622,630.375,356.369,144258362,3840000000,1000,3,2026-09-05T03:15:52.342245+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=100,ef=256",10,0.887900,848.136,1043.833,356.369,144258362,3840000000,1000,3,2026-09-05T03:15:55.785284+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=100,ef=512",10,0.937200,1666.889,2036.750,356.369,144258362,3840000000,1000,3,2026-09-05T03:16:02.266422+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=200,ef=16",10,0.509300,97.104,133.667,710.227,144258362,3840000000,1000,3,2026-09-05T03:27:53.614199+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=200,ef=32",10,0.643100,152.733,199.250,710.227,144258362,3840000000,1000,3,2026-09-05T03:27:54.267929+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=200,ef=64",10,0.763400,273.168,341.958,710.227,144258362,3840000000,1000,3,2026-09-05T03:27:55.400618+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=200,ef=128",10,0.856700,483.216,596.083,710.227,144258362,3840000000,1000,3,2026-09-05T03:27:57.355962+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=200,ef=256",10,0.922300,914.402,1127.917,710.227,144258362,3840000000,1000,3,2026-09-05T03:28:00.973626+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=200,ef=512",10,0.958600,1695.322,2105.583,710.227,144258362,3840000000,1000,3,2026-09-05T03:28:07.822957+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=400,ef=16",10,0.530900,254.557,348.834,2027.909,144258362,3840000000,1000,3,2026-09-05T04:01:59.046567+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=400,ef=32",10,0.661900,408.013,540.167,2027.909,144258362,3840000000,1000,3,2026-09-05T04:02:00.654172+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=400,ef=64",10,0.786300,696.949,836.500,2027.909,144258362,3840000000,1000,3,2026-09-05T04:02:03.477795+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=400,ef=128",10,0.879300,1226.416,1497.458,2027.909,144258362,3840000000,1000,3,2026-09-05T04:02:08.433598+00:00
faiss,GIST1M,IndexHNSWFlat,"M=16,efC=400,ef=256",10,0.939100,1814.705,2693.000,2027.909,144258362,3840000000,1000,3,2026-09-05T04:02:16.241574+00:00
