harness,dataset,index,params,k,recall_at_k,mean_latency_us,p95_latency_us,build_seconds,index_bytes,base_bytes,queries,runs,timestamp
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=100,ef=16",10,0.675470,25.057,34.333,100.713,80566706,512000000,10000,3,2026-09-04T10:41:03.128207+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=100,ef=32",10,0.799580,40.525,52.708,100.713,80566706,512000000,10000,3,2026-09-04T10:41:04.510110+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=100,ef=64",10,0.890760,72.005,87.417,100.713,80566706,512000000,10000,3,2026-09-04T10:41:06.872934+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=100,ef=128",10,0.947200,138.119,161.125,100.713,80566706,512000000,10000,3,2026-09-04T10:41:11.284808+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=100,ef=256",10,0.975760,273.023,314.375,100.713,80566706,512000000,10000,3,2026-09-04T10:41:19.883460+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=100,ef=512",10,0.989220,568.890,650.333,100.713,80566706,512000000,10000,3,2026-09-04T10:41:37.659677+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=200,ef=16",10,0.686920,25.440,35.042,185.008,80566706,512000000,10000,3,2026-09-04T10:44:43.671279+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=200,ef=32",10,0.810770,41.226,53.583,185.008,80566706,512000000,10000,3,2026-09-04T10:44:45.075617+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=200,ef=64",10,0.900780,73.251,89.125,185.008,80566706,512000000,10000,3,2026-09-04T10:44:47.473731+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=200,ef=128",10,0.955230,140.365,163.416,185.008,80566706,512000000,10000,3,2026-09-04T10:44:51.953431+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=200,ef=256",10,0.981170,277.274,319.667,185.008,80566706,512000000,10000,3,2026-09-04T10:45:00.684342+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=200,ef=512",10,0.991780,576.541,658.583,185.008,80566706,512000000,10000,3,2026-09-04T10:45:18.710378+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=400,ef=16",10,0.688180,25.610,34.959,345.524,80566706,512000000,10000,3,2026-09-04T10:51:05.247931+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=400,ef=32",10,0.813930,41.530,53.958,345.524,80566706,512000000,10000,3,2026-09-04T10:51:06.661414+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=400,ef=64",10,0.904650,73.963,89.667,345.524,80566706,512000000,10000,3,2026-09-04T10:51:09.079936+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=400,ef=128",10,0.958020,141.392,164.209,345.524,80566706,512000000,10000,3,2026-09-04T10:51:13.596336+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=400,ef=256",10,0.983520,279.130,321.083,345.524,80566706,512000000,10000,3,2026-09-04T10:51:22.384284+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=8,efC=400,ef=512",10,0.993680,580.220,662.625,345.524,80566706,512000000,10000,3,2026-09-04T10:51:40.528532+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=100,ef=16",10,0.794490,34.551,46.875,129.375,144258362,512000000,10000,3,2026-09-04T10:53:51.213353+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=100,ef=32",10,0.897070,56.202,71.833,129.375,144258362,512000000,10000,3,2026-09-04T10:53:53.082114+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=100,ef=64",10,0.958210,99.550,122.000,129.375,144258362,512000000,10000,3,2026-09-04T10:53:56.296623+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=100,ef=128",10,0.986010,187.950,229.000,129.375,144258362,512000000,10000,3,2026-09-04T10:54:02.248799+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=100,ef=256",10,0.995990,361.315,440.084,129.375,144258362,512000000,10000,3,2026-09-04T10:54:13.598790+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=100,ef=512",10,0.998740,722.751,873.125,129.375,144258362,512000000,10000,3,2026-09-04T10:54:36.146108+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=200,ef=16",10,0.813060,36.688,49.416,251.542,144258362,512000000,10000,3,2026-09-04T10:58:49.058675+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=200,ef=32",10,0.912180,59.965,76.292,251.542,144258362,512000000,10000,3,2026-09-04T10:58:51.046276+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=200,ef=64",10,0.968290,106.498,130.167,251.542,144258362,512000000,10000,3,2026-09-04T10:58:54.475903+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=200,ef=128",10,0.990860,201.347,245.250,251.542,144258362,512000000,10000,3,2026-09-04T10:59:00.867402+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=200,ef=256",10,0.997580,383.545,468.292,251.542,144258362,512000000,10000,3,2026-09-04T10:59:12.895925+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=200,ef=512",10,0.999130,761.563,924.583,251.542,144258362,512000000,10000,3,2026-09-04T10:59:36.661301+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=400,ef=16",10,0.818500,38.927,52.584,481.143,144258362,512000000,10000,3,2026-09-04T11:07:39.258923+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=400,ef=32",10,0.918370,63.077,79.625,481.143,144258362,512000000,10000,3,2026-09-04T11:07:41.352867+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=400,ef=64",10,0.972280,112.197,136.125,481.143,144258362,512000000,10000,3,2026-09-04T11:07:44.957080+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=400,ef=128",10,0.993070,211.025,254.875,481.143,144258362,512000000,10000,3,2026-09-04T11:07:51.639095+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=400,ef=256",10,0.998210,401.024,486.708,481.143,144258362,512000000,10000,3,2026-09-04T11:08:04.227217+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=16,efC=400,ef=512",10,0.999290,794.734,960.208,481.143,144258362,512000000,10000,3,2026-09-04T11:08:29.010747+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=100,ef=16",10,0.834850,42.705,59.541,154.920,272129506,512000000,10000,3,2026-09-04T11:11:05.529932+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=100,ef=32",10,0.923280,69.036,91.375,154.920,272129506,512000000,10000,3,2026-09-04T11:11:07.799944+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=100,ef=64",10,0.971780,121.599,157.250,154.920,272129506,512000000,10000,3,2026-09-04T11:11:11.703815+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=100,ef=128",10,0.991380,225.256,290.042,154.920,272129506,512000000,10000,3,2026-09-04T11:11:18.824844+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=100,ef=256",10,0.997710,425.869,546.084,154.920,272129506,512000000,10000,3,2026-09-04T11:11:32.168410+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=100,ef=512",10,0.999140,831.737,1049.667,154.920,272129506,512000000,10000,3,2026-09-04T11:11:58.158145+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=200,ef=16",10,0.860590,47.246,65.709,308.078,272129506,512000000,10000,3,2026-09-04T11:17:07.967608+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=200,ef=32",10,0.942340,77.277,102.083,308.078,272129506,512000000,10000,3,2026-09-04T11:17:10.493132+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=200,ef=64",10,0.981940,136.456,177.083,308.078,272129506,512000000,10000,3,2026-09-04T11:17:14.855261+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=200,ef=128",10,0.995220,251.743,326.417,308.078,272129506,512000000,10000,3,2026-09-04T11:17:22.800619+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=200,ef=256",10,0.998800,472.074,612.125,308.078,272129506,512000000,10000,3,2026-09-04T11:17:37.582407+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=200,ef=512",10,0.999350,911.349,1171.083,308.078,272129506,512000000,10000,3,2026-09-04T11:18:05.996487+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=400,ef=16",10,0.873780,50.981,70.458,595.230,272129506,512000000,10000,3,2026-09-04T11:28:03.120772+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=400,ef=32",10,0.951520,83.784,109.416,595.230,272129506,512000000,10000,3,2026-09-04T11:28:05.846276+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=400,ef=64",10,0.986830,148.486,192.459,595.230,272129506,512000000,10000,3,2026-09-04T11:28:10.579001+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=400,ef=128",10,0.996990,273.610,354.875,595.230,272129506,512000000,10000,3,2026-09-04T11:28:19.210589+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=400,ef=256",10,0.999230,510.147,664.333,595.230,272129506,512000000,10000,3,2026-09-04T11:28:35.198559+00:00
faiss,SIFT1M,IndexHNSWFlat,"M=32,efC=400,ef=512",10,0.999450,975.701,1262.000,595.230,272129506,512000000,10000,3,2026-09-04T11:29:05.600821+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=8,nprobe=1",10,0.245990,15.699,17.500,13.992,16663732,512000000,10000,3,2026-09-04T11:29:20.211081+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=8,nprobe=4",10,0.348980,23.702,28.875,13.992,16663732,512000000,10000,3,2026-09-04T11:29:21.071836+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=8,nprobe=8",10,0.372690,33.375,41.917,13.992,16663732,512000000,10000,3,2026-09-04T11:29:22.234401+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=8,nprobe=16",10,0.382300,52.921,65.959,13.992,16663732,512000000,10000,3,2026-09-04T11:29:24.004472+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=8,nprobe=32",10,0.385560,90.928,109.250,13.992,16663732,512000000,10000,3,2026-09-04T11:29:26.950017+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=8,nprobe=64",10,0.386160,163.436,191.208,13.992,16663732,512000000,10000,3,2026-09-04T11:29:32.145220+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=1",10,0.311280,24.843,27.667,24.236,24663732,512000000,10000,3,2026-09-04T11:29:57.281505+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=4",10,0.492240,37.796,46.042,24.236,24663732,512000000,10000,3,2026-09-04T11:29:58.579733+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=8",10,0.539950,53.930,67.667,24.236,24663732,512000000,10000,3,2026-09-04T11:30:00.379536+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=16",10,0.563040,85.683,106.708,24.236,24663732,512000000,10000,3,2026-09-04T11:30:03.172553+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=32",10,0.571660,147.607,177.625,24.236,24663732,512000000,10000,3,2026-09-04T11:30:07.876798+00:00
