harness,dataset,index,params,k,recall_at_k,mean_latency_us,p95_latency_us,build_seconds,index_bytes,base_bytes,queries,runs,timestamp
java,SIFT1M,"ivfpq(nlist=1024,m=16,nprobe=1)","nlist=1024,m=16,nprobe=1",10,0.314330,35.642,42.125,134.142,20659460,512000000,10000,3,2026-09-04T08:38:17.658334Z
java,SIFT1M,"ivfpq(nlist=1024,m=16,nprobe=4)","nlist=1024,m=16,nprobe=4",10,0.487670,106.744,131.708,134.142,20659460,512000000,10000,3,2026-09-04T08:38:20.984451Z
java,SIFT1M,"ivfpq(nlist=1024,m=16,nprobe=8)","nlist=1024,m=16,nprobe=8",10,0.534690,200.858,241.750,134.142,20659460,512000000,10000,3,2026-09-04T08:38:27.218497Z
java,SIFT1M,"ivfpq(nlist=1024,m=16,nprobe=16)","nlist=1024,m=16,nprobe=16",10,0.558780,387.639,447.208,134.142,20659460,512000000,10000,3,2026-09-04T08:38:39.239996Z
java,SIFT1M,"ivfpq(nlist=1024,m=16,nprobe=32)","nlist=1024,m=16,nprobe=32",10,0.567030,756.843,841.375,134.142,20659460,512000000,10000,3,2026-09-04T08:39:02.708090Z
java,SIFT1M,"ivfpq(nlist=1024,m=16,nprobe=64)","nlist=1024,m=16,nprobe=64",10,0.569060,1489.232,1611.875,134.142,20659460,512000000,10000,3,2026-09-04T08:39:48.886014Z
java,SIFT1M,"ivfpq(nlist=1024,m=32,nprobe=1)","nlist=1024,m=32,nprobe=1",10,0.353340,55.083,66.083,165.157,36659460,512000000,10000,3,2026-09-04T08:45:58.019288Z
java,SIFT1M,"ivfpq(nlist=1024,m=32,nprobe=4)","nlist=1024,m=32,nprobe=4",10,0.593490,183.122,226.458,165.157,36659460,512000000,10000,3,2026-09-04T08:46:03.713869Z
java,SIFT1M,"ivfpq(nlist=1024,m=32,nprobe=8)","nlist=1024,m=32,nprobe=8",10,0.669110,351.747,422.250,165.157,36659460,512000000,10000,3,2026-09-04T08:46:14.625883Z
java,SIFT1M,"ivfpq(nlist=1024,m=32,nprobe=16)","nlist=1024,m=32,nprobe=16",10,0.710300,687.471,790.083,165.157,36659460,512000000,10000,3,2026-09-04T08:46:35.945343Z
java,SIFT1M,"ivfpq(nlist=1024,m=32,nprobe=32)","nlist=1024,m=32,nprobe=32",10,0.726080,1351.975,1498.709,165.157,36659460,512000000,10000,3,2026-09-04T08:47:17.880347Z
java,SIFT1M,"ivfpq(nlist=1024,m=32,nprobe=64)","nlist=1024,m=32,nprobe=64",10,0.730340,2674.606,2887.959,165.157,36659460,512000000,10000,3,2026-09-04T08:48:40.902810Z
