harness,dataset,index,params,k,recall_at_k,mean_latency_us,p95_latency_us,build_seconds,index_bytes,base_bytes,queries,runs,timestamp
java,GIST1M,"hnsw(M=8,efC=100,ef=16)","M=8,efC=100,ef=16",10,0.361400,95.497,137.542,367.836,81163696,3840000000,1000,3,2026-09-04T14:09:54.972902Z
java,GIST1M,"hnsw(M=8,efC=100,ef=32)","M=8,efC=100,ef=32",10,0.477700,152.262,202.208,367.836,81163696,3840000000,1000,3,2026-09-04T14:09:55.590537Z
java,GIST1M,"hnsw(M=8,efC=100,ef=64)","M=8,efC=100,ef=64",10,0.594300,254.284,317.500,367.836,81163696,3840000000,1000,3,2026-09-04T14:09:56.611175Z
java,GIST1M,"hnsw(M=8,efC=100,ef=128)","M=8,efC=100,ef=128",10,0.696700,444.978,525.292,367.836,81163696,3840000000,1000,3,2026-09-04T14:09:58.393861Z
java,GIST1M,"hnsw(M=8,efC=100,ef=256)","M=8,efC=100,ef=256",10,0.780000,801.876,940.959,367.836,81163696,3840000000,1000,3,2026-09-04T14:10:01.604945Z
java,GIST1M,"hnsw(M=8,efC=100,ef=512)","M=8,efC=100,ef=512",10,0.850100,1456.551,1711.333,367.836,81163696,3840000000,1000,3,2026-09-04T14:10:07.434377Z
java,GIST1M,"hnsw(M=8,efC=200,ef=16)","M=8,efC=200,ef=16",10,0.387400,99.437,139.875,700.397,81163696,3840000000,1000,3,2026-09-04T14:21:48.378690Z
java,GIST1M,"hnsw(M=8,efC=200,ef=32)","M=8,efC=200,ef=32",10,0.505100,161.037,215.833,700.397,81163696,3840000000,1000,3,2026-09-04T14:21:49.024863Z
java,GIST1M,"hnsw(M=8,efC=200,ef=64)","M=8,efC=200,ef=64",10,0.625000,269.530,335.167,700.397,81163696,3840000000,1000,3,2026-09-04T14:21:50.104538Z
java,GIST1M,"hnsw(M=8,efC=200,ef=128)","M=8,efC=200,ef=128",10,0.739300,472.526,553.875,700.397,81163696,3840000000,1000,3,2026-09-04T14:21:51.994334Z
java,GIST1M,"hnsw(M=8,efC=200,ef=256)","M=8,efC=200,ef=256",10,0.821300,855.476,986.500,700.397,81163696,3840000000,1000,3,2026-09-04T14:21:55.418249Z
java,GIST1M,"hnsw(M=8,efC=200,ef=512)","M=8,efC=200,ef=512",10,0.882100,1556.610,1813.250,700.397,81163696,3840000000,1000,3,2026-09-04T14:22:01.644811Z
java,GIST1M,"hnsw(M=8,efC=400,ef=16)","M=8,efC=400,ef=16",10,0.394200,102.794,143.500,1328.737,81163696,3840000000,1000,3,2026-09-04T14:44:10.956011Z
java,GIST1M,"hnsw(M=8,efC=400,ef=32)","M=8,efC=400,ef=32",10,0.529500,167.020,223.708,1328.737,81163696,3840000000,1000,3,2026-09-04T14:44:11.627816Z
java,GIST1M,"hnsw(M=8,efC=400,ef=64)","M=8,efC=400,ef=64",10,0.651700,280.375,344.584,1328.737,81163696,3840000000,1000,3,2026-09-04T14:44:12.750743Z
java,GIST1M,"hnsw(M=8,efC=400,ef=128)","M=8,efC=400,ef=128",10,0.762100,494.470,577.542,1328.737,81163696,3840000000,1000,3,2026-09-04T14:44:14.731411Z
java,GIST1M,"hnsw(M=8,efC=400,ef=256)","M=8,efC=400,ef=256",10,0.851100,896.227,1030.791,1328.737,81163696,3840000000,1000,3,2026-09-04T14:44:18.318634Z
java,GIST1M,"hnsw(M=8,efC=400,ef=512)","M=8,efC=400,ef=512",10,0.906200,1637.316,1901.458,1328.737,81163696,3840000000,1000,3,2026-09-04T14:44:24.864479Z
java,GIST1M,"hnsw(M=16,efC=100,ef=16)","M=16,efC=100,ef=16",10,0.468400,151.508,215.375,544.174,144568308,3840000000,1000,3,2026-09-04T14:53:29.820574Z
java,GIST1M,"hnsw(M=16,efC=100,ef=32)","M=16,efC=100,ef=32",10,0.598600,240.741,325.166,544.174,144568308,3840000000,1000,3,2026-09-04T14:53:30.784539Z
java,GIST1M,"hnsw(M=16,efC=100,ef=64)","M=16,efC=100,ef=64",10,0.722900,404.605,519.084,544.174,144568308,3840000000,1000,3,2026-09-04T14:53:32.404400Z
java,GIST1M,"hnsw(M=16,efC=100,ef=128)","M=16,efC=100,ef=128",10,0.822000,710.633,897.625,544.174,144568308,3840000000,1000,3,2026-09-04T14:53:35.247350Z
java,GIST1M,"hnsw(M=16,efC=100,ef=256)","M=16,efC=100,ef=256",10,0.897800,1275.922,1606.792,544.174,144568308,3840000000,1000,3,2026-09-04T14:53:40.350798Z
java,GIST1M,"hnsw(M=16,efC=100,ef=512)","M=16,efC=100,ef=512",10,0.943100,2276.358,2880.791,544.174,144568308,3840000000,1000,3,2026-09-04T14:53:49.465297Z
