query,recall,d1,dk,spread,orphan_neighbours
0,1.0000,0.7533,0.8158,1.0830,0
1,0.7000,0.8456,0.9042,1.0692,0
2,1.0000,0.6396,0.7122,1.1135,0
3,0.6000,0.9912,1.0287,1.0378,0
4,0.6000,1.2056,1.2647,1.0491,0
5,1.0000,0.7568,0.9440,1.2474,0
6,0.9000,1.3334,1.3784,1.0337,0
7,0.8000,1.2598,1.3856,1.0999,0
8,0.9000,1.1301,1.2377,1.0952,0
9,0.3000,0.9340,0.9808,1.0501,0
10,1.0000,0.4482,0.5088,1.1352,0
11,0.9000,0.4297,0.4666,1.0859,0
12,0.8000,0.9868,1.0754,1.0898,0
13,0.6000,1.5688,1.6577,1.0567,0
14,0.8000,1.0768,1.1389,1.0576,0
15,1.0000,0.8474,0.8969,1.0584,0
16,1.0000,0.3820,0.4092,1.0713,0
17,1.0000,1.0688,1.1513,1.0772,0
18,0.8000,1.2534,1.3436,1.0720,0
19,1.0000,0.7814,0.8436,1.0797,0
20,0.7000,0.8982,0.9359,1.0420,0
21,0.5000,1.2520,1.2772,1.0201,0
22,0.5000,1.6151,1.6785,1.0393,0
23,0.5000,1.0776,1.1188,1.0383,0
24,0.9000,1.0204,1.0938,1.0719,0
25,0.2000,1.3797,1.4860,1.0770,0
26,0.4000,1.4125,1.4702,1.0408,0
27,0.6000,1.0870,1.1616,1.0687,0
28,0.8000,1.0284,1.0556,1.0265,0
29,0.9000,0.7180,0.7792,1.0852,0
30,1.0000,0.8537,0.9860,1.1551,0
31,0.5000,1.0564,1.1085,1.0492,0
32,0.4000,1.0912,1.1316,1.0370,0
33,0.9000,1.0129,1.0722,1.0585,0
34,1.0000,1.0354,1.1164,1.0782,0
35,0.8000,0.9729,1.0432,1.0723,0
36,0.7000,1.5000,1.5497,1.0332,0
37,0.7000,1.0371,1.0701,1.0318,0
38,0.8000,1.1124,1.2005,1.0792,0
39,0.7000,1.3242,1.3552,1.0234,0
40,1.0000,0.7722,0.8348,1.0811,0
41,0.7000,1.2970,1.3366,1.0305,0
42,1.0000,0.9032,0.9308,1.0305,0
43,1.0000,0.9766,1.0150,1.0393,0
44,1.0000,0.8660,0.9263,1.0697,0
45,0.9000,0.7892,0.8473,1.0736,0
46,0.8000,0.9106,0.9356,1.0275,0
47,1.0000,0.7446,0.8051,1.0812,0
48,0.7000,1.0175,1.0748,1.0563,0
49,0.8000,1.0479,1.0838,1.0342,0
50,1.0000,0.9906,1.0223,1.0321,0
51,1.0000,1.0555,1.0984,1.0407,0
52,1.0000,1.0876,1.1699,1.0757,0
53,0.6000,1.4151,1.4733,1.0411,0
54,0.8000,1.6980,1.8187,1.0711,0
55,1.0000,1.1083,1.2173,1.0984,0
56,1.0000,0.8988,0.9919,1.1036,0
57,1.0000,0.9041,0.9565,1.0580,0
58,1.0000,0.7639,0.8088,1.0588,0
59,1.0000,1.0798,1.1795,1.0923,0
60,0.8000,1.0052,1.0519,1.0464,0
61,0.6000,1.0246,1.0546,1.0292,0
62,0.3000,1.2026,1.2294,1.0223,0
63,0.8000,0.1830,1.1572,6.3227,0
64,1.0000,1.3000,1.3523,1.0402,0
65,0.9000,1.0268,1.0752,1.0471,0
66,0.8000,1.1625,1.1894,1.0232,0
67,0.8000,1.3721,1.4152,1.0314,0
68,0.6000,1.2022,1.2277,1.0212,0
69,1.0000,0.9568,1.0776,1.1262,0
70,0.9000,1.0777,1.1264,1.0452,0
71,0.7000,1.3212,1.3507,1.0223,0
72,0.6000,1.1060,1.1496,1.0395,0
73,0.9000,0.8865,0.9213,1.0393,0
74,0.9000,0.9443,0.9697,1.0270,0
75,0.7000,0.8917,0.9272,1.0398,0
76,1.0000,0.9394,0.9909,1.0548,0
77,0.8000,0.8420,0.8713,1.0348,0
78,0.9000,0.9316,1.0862,1.1660,0
79,0.7000,1.1536,1.2157,1.0539,0
80,1.0000,0.0000,1.1114,1.0000,0
81,0.8000,1.2106,1.2656,1.0454,0
82,0.9000,0.9122,1.0402,1.1403,0
83,0.9000,1.1947,1.2763,1.0683,0
84,1.0000,0.8734,0.9689,1.1093,0
85,0.7000,1.0770,1.1152,1.0355,0
86,0.7000,0.9671,1.0094,1.0437,0
87,1.0000,0.7553,0.8539,1.1305,0
88,1.0000,0.9918,1.0507,1.0594,0
89,0.8000,1.0100,1.0830,1.0723,0
90,0.9000,0.9079,0.9738,1.0726,0
91,0.9000,1.1580,1.2009,1.0370,0
92,0.9000,0.9444,1.1311,1.1978,0
93,0.6000,1.1885,1.2746,1.0724,0
94,1.0000,0.9307,0.9643,1.0360,0
95,0.8000,0.8938,0.9501,1.0630,0
96,1.0000,0.7248,0.8445,1.1651,0
97,1.0000,0.6090,0.7533,1.2368,0
98,1.0000,0.9487,0.9994,1.0535,0
99,1.0000,0.0000,1.0495,1.0000,0
100,0.9000,0.8973,0.9417,1.0494,0
101,1.0000,1.1634,1.1929,1.0254,0
102,0.8000,1.3981,1.4290,1.0221,0
103,0.4000,1.1434,1.1933,1.0437,0
104,0.8000,1.0638,1.1195,1.0523,0
105,0.8000,1.2766,1.3693,1.0726,0
106,0.5000,1.1176,1.1788,1.0548,0
107,1.0000,0.5128,0.5818,1.1344,0
108,0.6000,1.0460,1.0978,1.0496,0
109,0.9000,0.8962,1.0250,1.1437,0
110,1.0000,1.0273,1.0779,1.0492,0
111,1.0000,0.8231,0.8696,1.0565,0
112,0.8000,1.3646,1.4344,1.0512,0
113,1.0000,1.0679,1.4069,1.3175,0
114,0.4000,1.1286,1.1764,1.0424,0
115,0.8000,0.9178,1.0096,1.1000,0
116,0.9000,1.1875,1.6248,1.3683,0
117,0.8000,1.1251,1.1749,1.0442,0
118,1.0000,0.8446,0.9119,1.0797,0
119,0.9000,1.0191,1.0544,1.0347,0
120,0.8000,1.2760,1.2981,1.0173,0
121,0.5000,1.0117,1.0371,1.0251,0
122,1.0000,0.8461,0.9223,1.0900,0
