query,recall,d1,dk,spread,orphan_neighbours
0,1.0000,232.8712,268.0690,1.1511,0
1,0.7000,226.2454,240.0958,1.0612,0
2,1.0000,175.4765,190.6515,1.0865,0
3,1.0000,174.6711,191.3740,1.0956,0
4,1.0000,214.2755,238.8430,1.1147,0
5,1.0000,253.8858,270.9631,1.0673,0
6,1.0000,224.3279,238.8347,1.0647,0
7,1.0000,154.8741,173.9483,1.1232,0
8,1.0000,213.6609,236.9430,1.1090,0
9,1.0000,210.1595,231.6441,1.1022,0
10,1.0000,232.6714,264.1288,1.1352,0
11,1.0000,172.1627,199.9750,1.1615,0
12,0.9000,198.0783,223.1098,1.1264,0
13,1.0000,195.5045,227.9496,1.1660,0
14,1.0000,238.0168,251.7856,1.0578,0
15,0.9000,215.3416,222.9731,1.0354,0
16,0.9000,185.6287,217.8899,1.1738,0
17,0.8000,207.4078,230.5211,1.1114,0
18,1.0000,225.0800,238.3233,1.0588,0
19,1.0000,196.4026,206.4049,1.0509,0
20,1.0000,143.6454,160.3777,1.1165,0
21,1.0000,80.8455,173.9224,2.1513,0
22,1.0000,164.1920,178.1320,1.0849,0
23,1.0000,204.8194,219.6702,1.0725,0
24,1.0000,154.2271,200.2199,1.2982,0
25,1.0000,219.6474,248.2559,1.1302,0
26,1.0000,172.8149,186.1934,1.0774,0
27,1.0000,174.8056,191.4367,1.0951,0
28,0.9000,190.7433,206.8913,1.0847,0
29,1.0000,125.3794,165.9096,1.3233,0
30,0.9000,203.1182,226.2145,1.1137,0
31,1.0000,109.1925,261.9866,2.3993,0
32,1.0000,187.5633,212.7205,1.1341,0
33,1.0000,220.7578,273.9087,1.2408,0
34,1.0000,202.9680,240.2832,1.1838,0
35,1.0000,120.9752,249.6618,2.0637,0
36,1.0000,111.4585,258.4144,2.3185,0
37,1.0000,166.8562,252.3787,1.5126,0
38,1.0000,156.3586,267.1479,1.7086,0
39,1.0000,148.2093,173.2022,1.1686,0
40,1.0000,153.5643,243.3557,1.5847,0
41,1.0000,180.7816,192.5539,1.0651,0
42,1.0000,201.2387,229.9217,1.1425,0
43,0.9000,165.3390,258.4415,1.5631,0
44,1.0000,178.7652,215.1836,1.2037,0
45,1.0000,171.5634,205.8592,1.1999,0
46,1.0000,99.6293,205.4264,2.0619,0
47,0.9000,281.3681,294.8203,1.0478,0
48,1.0000,155.7626,236.2943,1.5170,0
49,1.0000,128.7828,177.1186,1.3753,0
50,1.0000,181.1408,249.8119,1.3791,0
51,1.0000,130.8128,216.8986,1.6581,0
52,1.0000,148.6708,176.6918,1.1885,0
53,1.0000,180.2831,204.3918,1.1337,0
54,1.0000,143.5479,154.0876,1.0734,0
55,1.0000,124.8199,172.9595,1.3857,0
56,1.0000,172.4036,188.7618,1.0949,0
57,1.0000,162.9509,199.1381,1.2221,0
58,1.0000,65.7419,256.2440,3.8977,0
59,1.0000,114.4159,138.4666,1.2102,0
60,1.0000,170.3085,230.5146,1.3535,0
61,1.0000,140.3567,181.7718,1.2951,0
62,1.0000,131.6511,157.1623,1.1938,0
63,1.0000,94.9158,201.4398,2.1223,0
64,1.0000,138.2751,207.6367,1.5016,0
65,1.0000,166.1596,192.3902,1.1579,0
66,1.0000,200.8656,244.7489,1.2185,0
67,1.0000,185.3645,200.1674,1.0799,0
68,1.0000,146.2498,163.9146,1.1208,0
69,0.7000,244.7774,258.5653,1.0563,0
70,1.0000,46.8188,116.2755,2.4835,0
71,1.0000,193.6750,228.8995,1.1819,0
72,1.0000,274.9382,288.9066,1.0508,0
73,1.0000,230.4582,268.3375,1.1644,0
74,1.0000,131.0954,200.1350,1.5266,0
75,1.0000,212.0613,261.3886,1.2326,0
76,1.0000,194.6638,226.5061,1.1636,0
77,1.0000,233.5037,267.0206,1.1435,0
78,1.0000,180.6986,225.9270,1.2503,0
79,1.0000,148.1654,173.2339,1.1692,0
80,1.0000,146.3113,247.5884,1.6922,0
81,1.0000,249.9380,262.3395,1.0496,0
82,1.0000,219.8477,255.7362,1.1632,0
83,1.0000,173.5828,198.2625,1.1422,0
84,1.0000,192.6785,229.2400,1.1898,0
85,1.0000,222.5781,261.6639,1.1756,0
86,1.0000,197.6765,216.5802,1.0956,0
87,1.0000,123.5597,206.2305,1.6691,0
88,1.0000,75.0800,160.1062,2.1325,0
89,1.0000,114.5338,172.7947,1.5087,0
90,1.0000,50.4579,132.8232,2.6324,0
91,1.0000,230.6166,271.1217,1.1756,0
92,0.9000,141.4638,278.1169,1.9660,0
93,0.9000,186.5074,205.4069,1.1013,0
94,1.0000,160.5709,204.3893,1.2729,0
95,1.0000,244.8367,263.4843,1.0762,0
96,1.0000,247.2853,263.2394,1.0645,0
97,0.9000,233.5316,269.9778,1.1561,0
98,1.0000,102.1372,108.7520,1.0648,0
99,1.0000,184.6131,258.8301,1.4020,0
100,1.0000,188.6160,214.5507,1.1375,0
101,1.0000,212.7628,237.2994,1.1153,0
